experiment_key,dataset,model,model_type,train_examples,test_examples,epochs,global_step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,summary_json
20260324T131236138793Z_ethics_tfidf_logreg,ethics,tfidf_logreg,sklearn,500,29492,,,nan,,,,nan,"{""train_examples"": 500, ""test_examples"": 29492, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"
20260324T131246264714Z_ethics_tfidf_linearsvc,ethics,tfidf_linearsvc,sklearn,500,29492,,,nan,,,,nan,"{""train_examples"": 500, ""test_examples"": 29492, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"
20260324T131301704639Z_normbank_bow_mnb,normbank,bow_mnb,sklearn,500,15495,,,nan,,,,nan,"{""train_examples"": 500, ""test_examples"": 15495, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"
20260324T131310802551Z_mfrc_tfidf_logreg,mfrc,tfidf_logreg,sklearn,500,3079,,,nan,,,,nan,"{""train_examples"": 500, ""test_examples"": 3079, ""epochs"": null, ""train_runtime"": NaN, ""train_loss"": NaN, ""global_step"": null, ""model_type"": ""sklearn""}"20260324T131704113732Z_ethics_distilbert-base-uncased,ethics,distilbert-base-uncased,transformer,64,32,1,8,16.2542,3.937,0.492,4238956756992.0,0.6772928163409233,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 16.2542, ""train_samples_per_second"": 3.937, ""train_steps_per_second"": 0.492, ""total_flos"": 4238956756992.0, ""train_loss"": 0.6772928163409233, ""epoch"": 1.0}"
20260324T131731923255Z_ethics_bert-base-uncased,ethics,bert-base-uncased,transformer,64,32,1,8,36.8782,1.735,0.217,8419553771520.0,0.6910033673048019,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 36.8782, ""train_samples_per_second"": 1.735, ""train_steps_per_second"": 0.217, ""total_flos"": 8419553771520.0, ""train_loss"": 0.6910033673048019, ""epoch"": 1.0}"
20260324T131823649634Z_ethics_roberta-base,ethics,roberta-base,transformer,64,32,1,8,36.1937,1.768,0.221,8419553771520.0,0.6744193583726883,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 36.1937, ""train_samples_per_second"": 1.768, ""train_steps_per_second"": 0.221, ""total_flos"": 8419553771520.0, ""train_loss"": 0.6744193583726883, ""epoch"": 1.0}"
20260324T131913695275Z_ethics_microsoft_deberta-v3-base,ethics,microsoft/deberta-v3-base,transformer,64,32,1,8,46.0701,1.389,0.174,8419704766464.0,0.7203849330544472,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 46.0701, ""train_samples_per_second"": 1.389, ""train_steps_per_second"": 0.174, ""total_flos"": 8419704766464.0, ""train_loss"": 0.7203849330544472, ""epoch"": 1.0}"
20260324T132016582966Z_normbank_distilbert-base-uncased,normbank,distilbert-base-uncased,transformer,64,32,1,8,15.6535,4.089,0.511,4239032352768.0,1.1051140576601028,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 15.6535, ""train_samples_per_second"": 4.089, ""train_steps_per_second"": 0.511, ""total_flos"": 4239032352768.0, ""train_loss"": 1.1051140576601028, ""epoch"": 1.0}"
20260324T132043755257Z_normbank_bert-base-uncased,normbank,bert-base-uncased,transformer,64,32,1,8,32.384,1.976,0.247,8419629367296.0,1.0845818370580673,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 32.384, ""train_samples_per_second"": 1.976, ""train_steps_per_second"": 0.247, ""total_flos"": 8419629367296.0, ""train_loss"": 1.0845818370580673, ""epoch"": 1.0}"
20260324T132129541459Z_normbank_roberta-base,normbank,roberta-base,transformer,64,32,1,8,32.7315,1.955,0.244,8419629367296.0,1.1322772055864334,"{""train_examples"": 64, ""test_examples"": 32, ""epochs"": 1, ""global_step"": 8, ""model_type"": ""transformer"", ""train_runtime"": 32.7315, ""train_samples_per_second"": 1.955, ""train_steps_per_second"": 0.244, ""total_flos"": 8419629367296.0, ""train_loss"": 1.1322772055864334, ""epoch"": 1.0}"
