text_hash,occurrences,locations
35d11fa741788e8d7f4b5e709605c5849b6e9fce,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
7e2ec2c419dbc85820daccc14ab513542b4fd3f5,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
c128642fe61fba8b928021910222047fb444e9b1,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
da77d7356566e6e13a6c559c7d2321ef719154a0,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
eda17085381f74dfc32315ec99dba744037dd0f2,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
c4cbac1bfc79e907c975295d8566a0611f7e072b,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
f6ab2127754dec5a75853d9042d9eaf0091a02d9,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
20be0ecbcaa892ca02ce7d2bd90f771585cf9094,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
adf377f293b6457bb38ce72385449c45e5111c2f,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
8e0bbd11e922f70c52592453f872cfe908b3f056,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
c7cde679b9dc4f68ca579530bd238bb5a5e686c3,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
d7eecbd419ceb25f38f957e38fa20422feb28496,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
2ffd663e59fa31c00f86a8ad4c5e2b3cadf2c1b1,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
49f99b4c1c82c766d92f0c8647777dcc632e50c2,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
4e48f423d20d27baba57f760fc1ae6866d0af128,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
c7b9d03c5e375efddc1b4f9fabe241ff9ac68866,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
89cd2bf41290b6411e2863b4f26c58b176945118,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
c2431e05871b1efc97f4e952fd896a382027fabc,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
ecbce20b28b9dd9e5653a71a63e2cca4bb56afec,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
ca97ed017fc7d9f022bdfbb1cb338e39986d037f,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
2b94962ec41d20d99fe2a1f4222aea96650de92a,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
17cd23eb0ac3d11f4afb5c8ab37f21beff5acdcf,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
e4dbf2af97a29fdf835d6ab2cb46590e0da32caa,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
4213f05e8032b5e781d430cc41235363cd29a501,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
4e88f4e93f510ad36f98c33d36c9ce9c8aee4897,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
36fb784a7b4006aeda3799c1da4e39833f56473b,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
f00332087f5978e932474c4c9a4a6325137e114b,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
4e4fc432c4267ed50eba4565a24bc0f025eb7508,2,"[{""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""test"", ""source_file"": ""commonsense\\cm_test.csv"", ""text_field"": ""input""}, {""category"": ""commonsense"", ""task"": ""cm"", ""split"": ""train"", ""source_file"": ""commonsense\\cm_train.csv"", ""text_field"": ""input""}]"
